Year,Area,Beds,Clinics
2010,Malawi,1208,250
2010,Lilongwe,1448,243
2010,Blantyre,1162,225
2010,Mzuzu,1083,229
2010,Zomba,1355,248
2011,Malawi,1856,253
2011,Lilongwe,1424,240
2011,Blantyre,1419,232
2011,Mzuzu,1451,271
2011,Zomba,1973,259
2012,Malawi,2006,272
2012,Lilongwe,1210,262
2012,Blantyre,1647,259
2012,Mzuzu,1255,244
2012,Zomba,1389,268
2013,Malawi,1898,287
2013,Lilongwe,1991,296
2013,Blantyre,1574,279
2013,Mzuzu,1986,294
2013,Zomba,1678,257
2014,Malawi,1381,270
2014,Lilongwe,1665,292
2014,Blantyre,2216,286
2014,Mzuzu,1807,291
2014,Zomba,1915,293
2015,Malawi,1697,288
2015,Lilongwe,1643,302
2015,Blantyre,2323,329
2015,Mzuzu,1896,291
2015,Zomba,1668,290
2016,Malawi,2031,321
2016,Lilongwe,1302,312
2016,Blantyre,1652,306
2016,Mzuzu,2282,309
2016,Zomba,1758,298
2017,Malawi,1726,298
2017,Lilongwe,1907,327
2017,Blantyre,1989,316
2017,Mzuzu,2261,306
2017,Zomba,1459,325
2018,Malawi,1820,331
2018,Lilongwe,2084,324
2018,Blantyre,1738,317
2018,Mzuzu,1979,320
2018,Zomba,1648,325
2019,Malawi,2822,340
2019,Lilongwe,1973,350
2019,Blantyre,1360,313
2019,Mzuzu,1943,334
2019,Zomba,1650,336
2020,Malawi,2293,348
2020,Lilongwe,2081,336
2020,Blantyre,1822,394
2020,Mzuzu,2311,349
2020,Zomba,1878,361
2021,Malawi,1964,349
2021,Lilongwe,2328,348
2021,Blantyre,2392,354
2021,Mzuzu,2355,361
2021,Zomba,2158,351
