Year,Region,Ministry,Projects,Cost_MWK
2015,Mbeya Region,Education,7,1941161
2015,Mbeya Region,Health,6,1237793
2015,Mbeya Region,Infrastructure,8,2320645
2015,Mbeya Region,Agriculture,5,600458
2015,Mbeya Region,Energy,6,1390673
2015,Mbeya Region,Environment,7,1508055
2015,Sanga-Lago Region,Education,6,752118
2015,Sanga-Lago Region,Health,9,638128
2015,Sanga-Lago Region,Infrastructure,4,1067567
2015,Sanga-Lago Region,Agriculture,6,1682145
2015,Sanga-Lago Region,Energy,9,2026669
2015,Sanga-Lago Region,Environment,4,693098
2015,Furancungo Area,Education,7,686212
2015,Furancungo Area,Health,4,583775
2015,Furancungo Area,Infrastructure,3,564679
2015,Furancungo Area,Agriculture,7,1442233
2015,Furancungo Area,Energy,7,1292987
2015,Furancungo Area,Environment,6,327348
2015,Munggari Surroundings,Education,5,685970
2015,Munggari Surroundings,Health,3,667008
2015,Munggari Surroundings,Infrastructure,3,804676
2015,Munggari Surroundings,Agriculture,6,1120578
2015,Munggari Surroundings,Energy,3,205977
2015,Munggari Surroundings,Environment,5,1338590
2015,Lake Chiwa Vicinity,Education,10,847288
2015,Lake Chiwa Vicinity,Health,5,481440
2015,Lake Chiwa Vicinity,Infrastructure,3,191072
2015,Lake Chiwa Vicinity,Agriculture,4,875034
2015,Lake Chiwa Vicinity,Energy,3,688032
2015,Lake Chiwa Vicinity,Environment,4,1136472
2015,North Luangwa NP Vicinity,Education,3,542240
2015,North Luangwa NP Vicinity,Health,4,1032303
2015,North Luangwa NP Vicinity,Infrastructure,4,495372
2015,North Luangwa NP Vicinity,Agriculture,5,390102
2015,North Luangwa NP Vicinity,Energy,6,1155137
2015,North Luangwa NP Vicinity,Environment,7,1832647
