latitude,longitude,incident_cause,injury_type,value,datetime,description
-16.69287954237065,34.90207517122758,Heavy equipment accident,Serious Injury,155,2019-06-18 22:44:20,Multiple vehicle accident
-11.190248114720742,35.27422886936702,Crop fire,Fatalities,289,2019-06-26 10:46:24,Pedestrian hit
-14.566810253586906,34.910130243035056,Drought impact,Fatalities,17,2019-06-12 07:04:17,Roadside emergency
-14.648886334124814,33.619445099505604,Flood damage,Minor Injury,932,2019-06-07 15:32:05,Multiple vehicle accident
-13.295117568444319,34.8246064302386,Heavy equipment accident,Minor Injury,1133,2019-06-16 18:44:53,Pedestrian hit
-16.339990972838503,35.1653337636396,Crop fire,Moderate Injury,1019,2019-06-27 09:30:37,Traffic jam due to accident
-10.004220372647358,34.262114927159715,Snake bite,Serious Injury,193,2019-06-19 23:11:52,Traffic jam due to accident
-10.77115004511817,33.81506235435468,Pesticide poisoning,Fatalities,136,2019-06-09 14:18:08,Single vehicle crash
-12.61471025616147,34.22369285269819,Chemical burn,Moderate Injury,788,2019-06-23 11:07:34,Vehicle collision
-15.070156277758732,32.670570304456106,Animal attack,Moderate Injury,1472,2019-06-03 05:07:54,Vehicle collision
-9.68191644530726,35.215176796682904,Chemical burn,Serious Injury,309,2019-06-02 17:48:08,Multiple vehicle accident
-9.099210941054736,33.792938110946636,Crop fire,Fatalities,114,2019-06-16 04:00:49,Pedestrian hit
-15.240495400602358,34.65873866914753,Pesticide poisoning,Moderate Injury,964,2019-06-10 16:27:27,Multiple vehicle accident
-14.338407171749687,34.417550105916206,Crop fire,Serious Injury,206,2019-06-05 12:42:41,Roadside emergency
-9.977023829956131,33.49831169739732,Drought impact,Serious Injury,43,2019-06-07 14:59:12,Hit and run
-8.841098301356507,35.649291465599866,Snake bite,Fatalities,221,2019-06-28 08:51:54,Road accident
-13.396780920902389,35.317301406478535,Pesticide poisoning,Minor Injury,85,2019-06-25 19:21:57,Single vehicle crash
-10.455419872858908,33.65825521092422,Animal attack,Fatalities,94,2019-06-03 19:04:18,Vehicle collision
-16.0552781883148,34.252107757087174,Crop fire,Serious Injury,395,2019-06-14 16:21:11,Road accident
-12.314271348747102,32.0689946363373,Animal attack,Serious Injury,54,2019-06-22 04:03:16,Roadside emergency
-15.137421396128268,33.76657069289851,Heavy equipment accident,Moderate Injury,476,2019-06-11 13:32:22,Road accident
-10.292001430368288,31.773070386025747,Crop fire,Fatalities,185,2019-06-01 07:58:31,Hit and run
-14.937993498890759,35.461160318578685,Animal attack,Minor Injury,380,2019-06-15 15:14:55,Road accident
-14.96489331143172,33.523806101258145,Machinery malfunction,Minor Injury,676,2019-06-15 12:48:34,Road accident
-11.124663520998778,32.381634683628185,Falling from tractor,Moderate Injury,677,2019-06-05 01:43:57,Single vehicle crash
-11.966475811614576,32.3415488501236,Pesticide poisoning,Fatalities,228,2019-06-14 02:59:20,Hit and run
-15.807805330225834,32.73299816907957,Drought impact,Minor Injury,1317,2019-06-24 08:55:20,Vehicle collision
-9.922105879736916,34.13857183462888,Drought impact,Serious Injury,165,2019-06-16 15:58:45,Hit and run
-14.43248783138437,34.86969903669104,Machinery malfunction,Minor Injury,1284,2019-06-12 00:31:17,Vehicle collision
-12.185619522474171,35.046306797352415,Machinery malfunction,Fatalities,38,2019-06-21 09:23:01,Roadside emergency
-11.93771000459843,33.80948129274929,Drought impact,Serious Injury,252,2019-06-20 19:09:01,Single vehicle crash
-12.925701075655438,35.06393927029666,Falling from tractor,Minor Injury,349,2019-06-27 15:53:22,Vehicle collision
