Year,Region,Planted_Area_m2
2013,North,307928.73950869415
2013,Central,89488.4410171384
2013,South,52582.81947416744
2014,North,14631.674900468826
2014,Central,238656.61590215593
2014,South,250711.70919737528
2015,North,167166.0042651645
2015,Central,136910.09744823238
2015,South,260403.89828660322
2016,North,135610.19413982722
2016,Central,353311.83265721006
2016,South,143295.5732029629
2017,North,454249.00774240424
2017,Central,178624.02100684875
2017,South,75210.68325074724
2018,North,244748.68299492897
2018,Central,9284.648867611584
2018,South,539020.4255774596
2019,North,142914.8056304609
2019,Central,120279.89763943941
2019,South,625025.5050629003
2020,North,508949.02806991927
2020,Central,154856.2756176347
2020,South,331001.3296451826
2021,North,140226.39741078689
2021,Central,619187.2649720239
2021,South,354769.7669498542
2022,North,565574.8162826856
2022,Central,318985.5832393021
2022,South,363325.0413305972
2023,North,1017098.4750568945
2023,Central,282761.9455882549
2023,South,97771.27310974593
2024,North,1004089.990240662
2024,Central,516220.6354058133
2024,South,45036.87135900797
