Year,Region,Station,Pollutant,Units,Value,Latitude,Longitude
2016,Lilongwe,Area 1,SO2,µg/m³,5.7,-15.87624908103242,34.66800881975791
2016,Lilongwe,Area 1,NO2,µg/m³,14.7,-15.87624908103242,34.66800881975791
2016,Lilongwe,Area 1,O3,µg/m³,45.8,-15.87624908103242,34.66800881975791
2016,Lilongwe,Area 1,PM10,µg/m³,86.6,-15.87624908103242,34.66800881975791
2016,Lilongwe,City Center,SO2,µg/m³,6.4,-15.910675094471769,35.35519110022216
2016,Lilongwe,City Center,NO2,µg/m³,8.5,-15.910675094471769,35.35519110022216
2016,Lilongwe,City Center,O3,µg/m³,47.7,-15.910675094471769,35.35519110022216
2016,Lilongwe,City Center,PM10,µg/m³,43.4,-15.910675094471769,35.35519110022216
2016,Blantyre,Main Market,SO2,µg/m³,6.1,-12.217287456642696,33.04894392211653
2016,Blantyre,Main Market,NO2,µg/m³,8.3,-12.217287456642696,33.04894392211653
2016,Blantyre,Main Market,O3,µg/m³,54.3,-12.217287456642696,33.04894392211653
2016,Blantyre,Main Market,PM10,µg/m³,88.4,-12.217287456642696,33.04894392211653
2016,Blantyre,Ndirande,SO2,µg/m³,6.8,-10.92768089557948,32.207336336509464
2016,Blantyre,Ndirande,NO2,µg/m³,8.2,-10.92768089557948,32.207336336509464
2016,Blantyre,Ndirande,O3,µg/m³,,-10.92768089557948,32.207336336509464
2016,Blantyre,Ndirande,PM10,µg/m³,56.2,-10.92768089557948,32.207336336509464
2016,Mzuzu,Central,SO2,µg/m³,6.4,-12.937447433884074,34.704588929450395
2016,Mzuzu,Central,NO2,µg/m³,11.1,-12.937447433884074,34.704588929450395
2016,Mzuzu,Central,O3,µg/m³,54.9,-12.937447433884074,34.704588929450395
2016,Mzuzu,Central,PM10,µg/m³,61.3,-12.937447433884074,34.704588929450395
2016,Mzuzu,Ekwendeni,SO2,µg/m³,7.0,-13.224319912661498,32.33813290264751
2016,Mzuzu,Ekwendeni,NO2,µg/m³,12.9,-13.224319912661498,32.33813290264751
2016,Mzuzu,Ekwendeni,O3,µg/m³,32.1,-13.224319912661498,32.33813290264751
2016,Mzuzu,Ekwendeni,PM10,µg/m³,74.0,-13.224319912661498,32.33813290264751
