Year,Area,Measure,Sector,Value
2010,Malawi,Hospitals,Government,12
2010,Malawi,Hospitals,Private,2
2010,Malawi,Hospitals,Total,14
2010,Malawi,Beds,Government,1583
2010,Malawi,Beds,Private,651
2010,Malawi,Beds,Total,2234
2010,Malawi,Clinics and Health Centres,Government,260
2010,Malawi,Clinics and Health Centres,Private,91
2010,Malawi,Clinics and Health Centres,Total,351
2010,Lilongwe,Hospitals,Government,7
2010,Lilongwe,Hospitals,Private,4
2010,Lilongwe,Hospitals,Total,11
2010,Lilongwe,Beds,Government,1227
2010,Lilongwe,Beds,Private,288
2010,Lilongwe,Beds,Total,1515
2010,Lilongwe,Clinics and Health Centres,Government,248
2010,Lilongwe,Clinics and Health Centres,Private,90
2010,Lilongwe,Clinics and Health Centres,Total,338
2010,Blantyre,Hospitals,Government,11
2010,Blantyre,Hospitals,Private,3
2010,Blantyre,Hospitals,Total,14
2010,Blantyre,Beds,Government,1319
2010,Blantyre,Beds,Private,456
2010,Blantyre,Beds,Total,1775
2010,Blantyre,Clinics and Health Centres,Government,259
2010,Blantyre,Clinics and Health Centres,Private,86
2010,Blantyre,Clinics and Health Centres,Total,345
2010,Mzuzu,Hospitals,Government,7
2010,Mzuzu,Hospitals,Private,8
2010,Mzuzu,Hospitals,Total,15
2010,Mzuzu,Beds,Government,1197
2010,Mzuzu,Beds,Private,262
2010,Mzuzu,Beds,Total,1459
2010,Mzuzu,Clinics and Health Centres,Government,239
2010,Mzuzu,Clinics and Health Centres,Private,96
2010,Mzuzu,Clinics and Health Centres,Total,335
2010,Zomba,Hospitals,Government,10
2010,Zomba,Hospitals,Private,5
2010,Zomba,Hospitals,Total,15
2010,Zomba,Beds,Government,1674
2010,Zomba,Beds,Private,633
2010,Zomba,Beds,Total,2307
2010,Zomba,Clinics and Health Centres,Government,261
2010,Zomba,Clinics and Health Centres,Private,82
2010,Zomba,Clinics and Health Centres,Total,343
2010,Karonga,Hospitals,Government,11
2010,Karonga,Hospitals,Private,2
2010,Karonga,Hospitals,Total,13
2010,Karonga,Beds,Government,1743
2010,Karonga,Beds,Private,703
2010,Karonga,Beds,Total,2446
2010,Karonga,Clinics and Health Centres,Government,272
2010,Karonga,Clinics and Health Centres,Private,86
2010,Karonga,Clinics and Health Centres,Total,358
2011,Malawi,Hospitals,Government,14
2011,Malawi,Hospitals,Private,4
2011,Malawi,Hospitals,Total,18
2011,Malawi,Beds,Government,1124
2011,Malawi,Beds,Private,681
2011,Malawi,Beds,Total,1805
2011,Malawi,Clinics and Health Centres,Government,260
2011,Malawi,Clinics and Health Centres,Private,97
2011,Malawi,Clinics and Health Centres,Total,357
