latitude,longitude,incident_cause,injury_type,value,datetime,description
-13.405490198770234,35.08717441389993,Snake bite,Moderate Injury,275,2019-06-13 08:25:58,Vehicle collision
-13.63279430014071,34.5435911283276,Flood damage,Minor Injury,1402,2019-06-25 00:45:45,Hit and run
-14.440899247497237,34.042869796504746,Machinery malfunction,Serious Injury,385,2019-06-10 22:40:01,Hit and run
-16.667783812960778,32.80797195695922,Animal attack,Serious Injury,145,2019-06-05 04:09:08,Single vehicle crash
-15.195226039412224,35.314942844147836,Machinery malfunction,Serious Injury,187,2019-06-20 19:18:45,Roadside emergency
-11.11060463659326,31.88859868179248,Flood damage,Fatalities,20,2019-06-15 18:19:43,Road accident
-10.482300941966292,32.143491690769295,Crop fire,Fatalities,94,2019-06-26 07:37:30,Single vehicle crash
-11.95049900099534,33.260855356539814,Crop fire,Serious Injury,36,2019-06-26 16:48:02,Roadside emergency
-9.397381998248608,32.20277272689555,Machinery malfunction,Fatalities,221,2019-06-02 23:41:45,Vehicle collision
-11.590916106749503,35.497406162335324,Drought impact,Serious Injury,320,2019-06-22 02:38:07,Single vehicle crash
-9.487771385916068,34.8700377156878,Animal attack,Fatalities,252,2019-06-21 23:10:30,Traffic jam due to accident
-10.0051925350153,32.73557130034318,Animal attack,Moderate Injury,823,2019-06-18 21:38:25,Traffic jam due to accident
-13.19787812711852,34.040674746734055,Falling from tractor,Moderate Injury,1155,2019-06-22 08:45:56,Single vehicle crash
-16.019581371571423,35.600028839717126,Snake bite,Moderate Injury,784,2019-06-03 16:56:08,Hit and run
-13.824578529979817,35.21142795340075,Falling from tractor,Moderate Injury,678,2019-06-20 15:48:47,Road accident
-11.44933521627105,34.08916184791111,Flood damage,Serious Injury,103,2019-06-11 04:44:45,Hit and run
-11.472598817758552,35.28874691001407,Pesticide poisoning,Serious Injury,122,2019-06-26 01:53:25,Single vehicle crash
-12.067356631969416,35.6271722428609,Pesticide poisoning,Serious Injury,60,2019-06-07 09:30:27,Traffic jam due to accident
-14.59046730986919,34.653677178658754,Snake bite,Minor Injury,505,2019-06-11 17:24:32,Traffic jam due to accident
-12.306889895993823,31.967346181552262,Flood damage,Fatalities,51,2019-06-03 15:04:41,Traffic jam due to accident
-13.728072808212296,33.30025773624493,Snake bite,Serious Injury,390,2019-06-02 21:32:46,Road accident
-9.035454599748844,35.027789911721655,Heavy equipment accident,Minor Injury,1024,2019-06-12 12:50:35,Hit and run
-10.014156820599311,32.62305401538788,Machinery malfunction,Fatalities,234,2019-06-21 02:20:46,Hit and run
-11.027815716315962,34.99934437029248,Drought impact,Moderate Injury,562,2019-06-14 14:18:52,Roadside emergency
-14.899200189600824,32.18654149765859,Chemical burn,Fatalities,52,2019-06-22 21:19:59,Hit and run
-14.739135467592249,31.89590361430534,Flood damage,Fatalities,220,2019-06-29 00:15:55,Multiple vehicle accident
-16.457744291378702,33.23099882150535,Snake bite,Minor Injury,380,2019-06-01 10:31:50,Roadside emergency
-11.116016769204276,31.855458472209392,Flood damage,Serious Injury,342,2019-06-28 11:19:00,Hit and run
-15.896200158129705,35.50079024141397,Drought impact,Moderate Injury,452,2019-06-13 12:16:41,Road accident
-13.278488080129813,34.9817745553441,Crop fire,Moderate Injury,1254,2019-06-26 12:09:16,Traffic jam due to accident
-15.172297957386894,34.881047961034305,Pesticide poisoning,Fatalities,195,2019-06-07 23:02:26,Multiple vehicle accident
-9.640764142482052,34.20392057506477,Chemical burn,Moderate Injury,1185,2019-06-04 07:48:10,Traffic jam due to accident
-12.99129932123857,32.56664313122475,Pesticide poisoning,Serious Injury,361,2019-06-18 18:02:04,Roadside emergency
-12.290693691348224,33.76231105203851,Animal attack,Minor Injury,282,2019-06-16 21:30:17,Roadside emergency
-11.236736791183764,34.075205326824154,Snake bite,Moderate Injury,564,2019-06-16 15:42:19,Vehicle collision
-15.669528308385171,33.78912474340666,Drought impact,Moderate Injury,688,2019-06-18 17:25:21,Single vehicle crash
-11.962793487155796,32.74052413708805,Heavy equipment accident,Moderate Injury,235,2019-06-12 00:10:46,Vehicle collision
-12.477466502325665,33.75038178028632,Animal attack,Serious Injury,244,2019-06-13 11:08:02,Traffic jam due to accident
-15.161602038863888,33.65509790983976,Drought impact,Minor Injury,1145,2019-06-16 00:25:16,Single vehicle crash
-9.26545704265289,35.65548967219463,Snake bite,Moderate Injury,252,2019-06-18 19:19:16,Vehicle collision
-12.00704223208637,35.26384714626297,Pesticide poisoning,Moderate Injury,123,2019-06-20 19:27:13,Pedestrian hit
-11.242564083673555,33.54498776293386,Flood damage,Minor Injury,1039,2019-06-23 21:01:25,Vehicle collision
-9.762671323048398,34.17683203642307,Animal attack,Moderate Injury,1195,2019-06-15 14:01:22,Single vehicle crash
-11.80389823637367,34.67157155220523,Flood damage,Fatalities,212,2019-06-14 05:05:41,Multiple vehicle accident
-14.42379952387342,31.848066034525946,Flood damage,Serious Injury,114,2019-06-01 18:01:07,Vehicle collision
-15.939210749152744,35.25388890726225,Heavy equipment accident,Minor Injury,562,2019-06-23 18:24:50,Traffic jam due to accident
-13.141419473251206,35.11610219301498,Drought impact,Fatalities,160,2019-06-28 00:23:08,Hit and run
-15.039029715381837,33.52143110718388,Animal attack,Moderate Injury,754,2019-06-07 02:09:58,Vehicle collision
-13.460415715473182,33.25903227367831,Chemical burn,Serious Injury,15,2019-06-15 15:11:49,Roadside emergency
-9.740256336416621,32.79091912443101,Flood damage,Fatalities,104,2019-06-05 22:38:34,Multiple vehicle accident
-14.194970182587967,33.59764024018826,Crop fire,Fatalities,244,2019-06-23 13:59:35,Multiple vehicle accident
-15.806959001035635,31.885731587591618,Heavy equipment accident,Fatalities,150,2019-06-05 20:24:01,Pedestrian hit
-13.940306230526511,35.08468639205415,Falling from tractor,Moderate Injury,1461,2019-06-28 17:28:05,Traffic jam due to accident
-9.552577320880342,31.85027257893744,Machinery malfunction,Fatalities,288,2019-06-11 02:13:09,Hit and run
-14.611105972404458,33.01304340686469,Pesticide poisoning,Moderate Injury,1386,2019-06-22 10:06:21,Roadside emergency
-11.617909739285343,35.3990943737432,Chemical burn,Moderate Injury,191,2019-06-09 15:16:57,Pedestrian hit
-16.775852595347335,34.62144211191288,Flood damage,Serious Injury,355,2019-06-08 14:22:35,Multiple vehicle accident
-13.970026215016674,32.82430820388701,Pesticide poisoning,Minor Injury,633,2019-06-19 04:17:24,Roadside emergency
-14.35089337248051,32.71049041208511,Machinery malfunction,Fatalities,54,2019-06-25 08:22:43,Road accident
-15.467692850450755,31.730125273679384,Machinery malfunction,Fatalities,192,2019-06-21 17:13:37,Pedestrian hit
-12.52330732757773,34.46502859968501,Pesticide poisoning,Minor Injury,501,2019-06-09 16:50:30,Road accident
-12.915905128268905,31.903182983425765,Drought impact,Serious Injury,381,2019-06-23 02:06:40,Hit and run
-11.261284817864546,33.81910597682702,Drought impact,Moderate Injury,1477,2019-06-20 17:03:53,Road accident
-14.632783699625785,35.52000301146452,Chemical burn,Minor Injury,1297,2019-06-29 16:29:51,Traffic jam due to accident
-14.83431958768524,32.14349668581564,Chemical burn,Serious Injury,98,2019-06-01 23:58:21,Road accident
-15.438720393881745,35.252140526633546,Animal attack,Serious Injury,183,2019-06-24 12:00:54,Pedestrian hit
-15.036449170002632,35.63624232717439,Snake bite,Fatalities,71,2019-06-16 07:32:50,Hit and run
-12.331927043921791,31.95360742390737,Crop fire,Serious Injury,194,2019-06-07 22:41:34,Single vehicle crash
-13.561425716667415,35.20630882578435,Machinery malfunction,Minor Injury,451,2019-06-29 21:22:05,Vehicle collision
-16.262808790541417,33.753672920956724,Crop fire,Moderate Injury,68,2019-06-20 20:16:51,Road accident
-14.756294150943274,35.29979432900054,Drought impact,Moderate Injury,1439,2019-06-17 04:13:43,Single vehicle crash
-14.812397779176349,33.97242301000151,Machinery malfunction,Minor Injury,619,2019-06-05 23:57:04,Road accident
-11.230454945466889,34.331963560022,Pesticide poisoning,Fatalities,49,2019-06-21 22:59:22,Roadside emergency
-11.103203398302199,33.863364475669705,Heavy equipment accident,Serious Injury,205,2019-06-14 08:05:21,Vehicle collision
-15.599747168271405,35.1333918060171,Falling from tractor,Serious Injury,162,2019-06-10 11:00:23,Vehicle collision
-8.828008334159934,34.61628327905666,Heavy equipment accident,Moderate Injury,654,2019-06-12 18:42:32,Traffic jam due to accident
-14.653755316225979,33.774190836234446,Machinery malfunction,Moderate Injury,999,2019-06-21 17:38:07,Road accident
-8.996378802013757,35.14791678404413,Chemical burn,Fatalities,193,2019-06-19 17:47:13,Multiple vehicle accident
-13.504035003853698,32.68133070773113,Animal attack,Minor Injury,1037,2019-06-06 13:28:07,Multiple vehicle accident
-16.51658565878263,32.333069012422,Heavy equipment accident,Fatalities,30,2019-06-04 04:41:59,Pedestrian hit
-14.029782153227337,32.345184417107085,Flood damage,Serious Injury,199,2019-06-21 04:16:03,Pedestrian hit
-11.724219782730131,33.03267515983114,Pesticide poisoning,Fatalities,195,2019-06-26 13:58:25,Roadside emergency
-11.354777551108509,32.65521252395203,Falling from tractor,Minor Injury,902,2019-06-24 11:54:12,Hit and run
-12.548451370962423,35.39315778801857,Animal attack,Minor Injury,133,2019-06-04 23:47:44,Traffic jam due to accident
-13.21116817835246,32.12910301156119,Drought impact,Minor Injury,174,2019-06-12 01:23:37,Pedestrian hit
-12.373442080101517,34.478003322636766,Machinery malfunction,Fatalities,289,2019-06-06 14:32:25,Road accident
